"DATE","TIME","C0ppb","CO_sd","Number","Other","Center"
2010-07-12,"11:00:01",98.3766666666667,5.02233542361964,60,0,2010-07-12 11:29:31
2010-07-12,"12:00:01",97.9531914893617,3.57216601346467,47,13,2010-07-12 12:36:01
2010-07-12,"13:00:01",90.0688888888889,5.85218771145467,45,15,2010-07-12 13:36:41
2010-07-12,"14:00:01",92.2033333333333,3.96176500071672,60,0,2010-07-12 14:29:31
2010-07-12,"15:00:01",92.8866666666667,3.55577671157778,60,0,2010-07-12 15:29:31
2010-07-12,"16:00:01",93.268085106383,3.57461499191529,47,13,2010-07-12 16:36:01
2010-07-12,"17:00:01",107.533333333333,6.75768656299002,60,0,2010-07-12 17:29:31
2010-07-12,"18:00:01",108.143333333333,12.0448366695228,60,0,2010-07-12 18:29:31
2010-07-12,"19:00:01",84.9561403508772,4.64923256124291,57,3,2010-07-12 19:29:52
2010-07-12,"20:00:01",98.0021276595745,4.46286559148901,47,13,2010-07-12 20:36:01
2010-07-12,"21:00:01",102.673333333333,3.78703706312919,60,0,2010-07-12 21:29:31
2010-07-12,"22:00:01",105.095,4.37479006760247,60,0,2010-07-12 22:29:31
2010-07-12,"23:00:01",111.443333333333,4.00683173654344,60,0,2010-07-12 23:29:31
2010-07-13,"00:00:01",109.162222222222,3.81076757293718,45,15,2010-07-13 00:36:41
2010-07-13,"01:00:01",110.653333333333,3.34944805302113,60,0,2010-07-13 01:29:31
2010-07-13,"02:00:01",106.551666666667,3.57299151434508,60,0,2010-07-13 02:29:31
2010-07-13,"03:00:01",119.676666666667,13.5703111472349,60,0,2010-07-13 03:29:31
2010-07-13,"04:00:01",145.730434782609,4.28137410783124,46,14,2010-07-13 04:36:28
2010-07-13,"05:00:01",121.263333333333,13.276051672941,60,0,2010-07-13 05:29:31
2010-07-13,"06:00:01",101.281666666667,4.0419617517067,60,0,2010-07-13 06:29:31
2010-07-13,"07:00:01",92.4966666666667,4.02336256478131,60,0,2010-07-13 07:29:31
2010-07-13,"08:00:01",97.136170212766,7.67393741495581,47,13,2010-07-13 08:36:01
2010-07-13,"09:00:01",126.073333333333,4.54979480508315,60,0,2010-07-13 09:29:31
2010-07-13,"10:00:01",134.463333333333,4.94645795773942,60,0,2010-07-13 10:29:31
2010-07-13,"11:00:01",93.7466666666667,7.22283625983337,45,15,2010-07-13 11:36:41
2010-07-13,"12:00:01",93.1382978723404,7.81546830752098,47,13,2010-07-13 12:36:01
2010-07-13,"13:00:01",80.375,6.82084603828338,60,0,2010-07-13 13:29:31
2010-07-13,"14:00:01",67.5714285714286,4.69145119187169,56,4,2010-07-13 14:29:20
2010-07-13,"15:00:01",65.347619047619,3.31732106489846,21,39,2010-07-13 15:12:03
2010-07-13,"16:00:01",62.09,1.23868209534704,10,50,2010-07-13 16:44:31
2010-07-13,"17:00:01",65.3695652173913,3.2327401218861,46,14,2010-07-13 17:34:31
2010-07-13,"18:00:01",71.0948275862069,7.16351433927861,58,2,2010-07-13 18:30:04
2010-07-13,"19:00:01",85.155,4.56933125693391,60,0,2010-07-13 19:29:31
2010-07-13,"20:00:01",105.791489361702,5.63721445964359,47,13,2010-07-13 20:36:01
2010-07-13,"21:00:01",119.381666666667,7.75909508236464,60,0,2010-07-13 21:29:31
2010-07-13,"22:00:01",133.466666666667,6.54380345337202,45,15,2010-07-13 22:36:41
2010-07-13,"23:00:01",140.823333333333,7.34381710811987,60,0,2010-07-13 23:29:31
2010-07-14,"00:00:01",125.317021276596,5.19105916765992,47,13,2010-07-14 00:36:01
2010-07-14,"01:00:01",126.465,8.62428233319804,60,0,2010-07-14 01:29:31
2010-07-14,"02:00:01",146.33,4.35393062236949,60,0,2010-07-14 02:29:31
2010-07-14,"03:00:01",151.031666666667,10.1433537005167,60,0,2010-07-14 03:29:31
2010-07-14,"04:00:01",165.48085106383,4.25050576519365,47,13,2010-07-14 04:36:01
2010-07-14,"05:00:01",147.856666666667,13.3995239817634,60,0,2010-07-14 05:29:31
2010-07-14,"06:00:01",127.813333333333,5.53134264102572,60,0,2010-07-14 06:29:31
2010-07-14,"07:00:01",119.453333333333,10.1881031761405,60,0,2010-07-14 07:29:31
2010-07-14,"08:00:01",107.127659574468,4.41123575940681,47,13,2010-07-14 08:36:01
2010-07-14,"09:00:01",89.2977777777778,5.30323609990288,45,15,2010-07-14 09:36:41
2010-07-14,"10:00:01",76.145,5.91520376599322,60,0,2010-07-14 10:29:31
